RNA,drug,lebal
A1BG-AS1,DOXORUBICIN,1
A2M-AS1,OXALIPLATIN,1
A2M-AS1,FLUOROURACIL,1
A2M-AS1,TEMOZOLOMIDE,1
ABCA17P,TEMOZOLOMIDE,1
ABCC6P1,CISPLATIN,1
ABCC6P2,GEMCITABINE,1
AC002044.1,OXALIPLATIN,1
AC002044.1,FLUOROURACIL,1
AC002044.2,OXALIPLATIN,1
AC002044.2,FLUOROURACIL,1
AC002398.1,GEMCITABINE,1
AC002401.2,GEMCITABINE,1
AC002401.3,GEMCITABINE,1
AC002470.1,FLUOROURACIL,1
AC002470.1,OXALIPLATIN,1
AC002550.2,GEMCITABINE,1
AC002558.3,OXALIPLATIN,1
AC002558.3,FLUOROURACIL,1
AC003070.1,GEMCITABINE,1
AC003965.2,GEMCITABINE,1
AC004080.1,GEMCITABINE,1
AC004160.1,GEMCITABINE,1
AC004231.1,GEMCITABINE,1
AC004466.3,GEMCITABINE,1
AC004825.2,GEMCITABINE,1
AC004832.5,GEMCITABINE,1
AC004854.2,OXALIPLATIN,1
AC004854.2,FLUOROURACIL,1
AC004862.1,GEMCITABINE,1
AC005042.1,OXALIPLATIN,1
AC005042.1,FLUOROURACIL,1
AC005062.1,GEMCITABINE,1
AC005072.1,FLUOROURACIL,1
AC005072.1,OXALIPLATIN,1
AC005154.3,OXALIPLATIN,1
AC005154.3,FLUOROURACIL,1
AC005180.2,GEMCITABINE,1
AC005225.2,GEMCITABINE,1
AC005256.1,GEMCITABINE,1
AC005256.1,FLUOROURACIL,1
AC005256.1,OXALIPLATIN,1
AC005280.1,GEMCITABINE,1
AC005392.3,GEMCITABINE,1
AC005393.1,GEMCITABINE,1
AC005592.2,GEMCITABINE,1
AC005696.1,FLUOROURACIL,1
AC005696.1,OXALIPLATIN,1
AC005821.1,GEMCITABINE,1
AC005899.6,FLUOROURACIL,1
AC005899.6,OXALIPLATIN,1
AC005920.1,GEMCITABINE,1
AC005920.4,GEMCITABINE,1
AC006042.1,GEMCITABINE,1
AC006077.2,FLUOROURACIL,1
AC006077.2,OXALIPLATIN,1
AC006205.2,GEMCITABINE,1
AC006273.1,GEMCITABINE,1
AC006273.1,OXALIPLATIN,1
AC006273.1,FLUOROURACIL,1
AC006449.2,GEMCITABINE,1
AC006449.6,FLUOROURACIL,1
AC006449.6,OXALIPLATIN,1
AC006538.1,GEMCITABINE,1
AC006557.1,GEMCITABINE,1
AC006960.3,GEMCITABINE,1
AC007038.1,FLUOROURACIL,1
AC007038.1,OXALIPLATIN,1
AC007128.1,GEMCITABINE,1
AC007292.3,GEFITINIB,1
AC007298.2,GEMCITABINE,1
AC007423.1,GEMCITABINE,1
AC007495.1,GEMCITABINE,1
AC007497.1,GEMCITABINE,1
AC007637.1,OXALIPLATIN,1
AC007637.1,FLUOROURACIL,1
AC007639.1,GEMCITABINE,1
AC007666.1,GEMCITABINE,1
AC007750.1,GEMCITABINE,1
AC007906.1,OXALIPLATIN,1
AC007906.1,FLUOROURACIL,1
AC008443.1,OXALIPLATIN,1
AC008443.1,FLUOROURACIL,1
AC008514.1,GEMCITABINE,1
AC008549.1,GEMCITABINE,1
AC008592.4,GEMCITABINE,1
AC008750.3,GEMCITABINE,1
AC008760.1,GEMCITABINE,1
AC008760.2,GEMCITABINE,1
AC008764.8,GEMCITABINE,1
AC008993.1,OXALIPLATIN,1
AC008993.1,FLUOROURACIL,1
AC009093.5,GEMCITABINE,1
AC009097.2,GEMCITABINE,1
AC009148.1,GEMCITABINE,1
AC009159.3,GEMCITABINE,1
AC009166.1,GEMCITABINE,1
AC009269.5,GEMCITABINE,1
AC009318.3,FLUOROURACIL,1
AC009318.3,OXALIPLATIN,1
AC009542.1,GEMCITABINE,1
AC009560.1,GEMCITABINE,1
AC009831.1,GEMCITABINE,1
AC009955.2,GEMCITABINE,1
AC009974.1,GEMCITABINE,1
AC010168.2,FLUOROURACIL,1
AC010168.2,OXALIPLATIN,1
AC010201.2,GEMCITABINE,1
AC010273.2,GEMCITABINE,1
AC010280.2,GEMCITABINE,1
AC010336.2,GEMCITABINE,1
AC010524.1,GEMCITABINE,1
AC010615.2,GEMCITABINE,1
AC010649.1,GEFITINIB,1
AC010735.2,GEMCITABINE,1
AC010931.2,GEMCITABINE,1
AC010967.1,GEMCITABINE,1
AC011294.1,GEMCITABINE,1
AC011330.2,GEMCITABINE,1
AC011330.2,FLUOROURACIL,1
AC011330.2,OXALIPLATIN,1
AC011352.1,GEMCITABINE,1
AC011352.3,GEMCITABINE,1
AC011365.1,GEMCITABINE,1
AC011462.4,GEMCITABINE,1
AC011481.1,GEMCITABINE,1
AC011498.2,FLUOROURACIL,1
AC011498.2,OXALIPLATIN,1
AC011498.7,OXALIPLATIN,1
AC011498.7,FLUOROURACIL,1
AC011558.1,FLUOROURACIL,1
AC011558.1,OXALIPLATIN,1
AC011944.1,GEMCITABINE,1
AC012065.3,GEMCITABINE,1
AC012313.4,FLUOROURACIL,1
AC012313.4,OXALIPLATIN,1
AC012313.9,GEMCITABINE,1
AC012358.1,GEMCITABINE,1
AC012358.1,OXALIPLATIN,1
AC012358.1,FLUOROURACIL,1
AC012508.2,GEMCITABINE,1
AC012531.1,GEMCITABINE,1
AC012640.4,GEMCITABINE,1
AC015674.1,OXALIPLATIN,1
AC015674.1,FLUOROURACIL,1
AC015908.3,GEMCITABINE,1
AC015917.2,GEMCITABINE,1
AC015921.1,GEMCITABINE,1
AC015987.1,GEMCITABINE,1
AC016924.1,GEMCITABINE,1
AC016999.1,GEMCITABINE,1
AC017002.3,GEMCITABINE,1
AC017083.2,GEMCITABINE,1
AC017083.2,OXALIPLATIN,1
AC017083.2,FLUOROURACIL,1
AC017104.1,GEMCITABINE,1
AC018467.1,GEMCITABINE,1
AC018866.1,TEMOZOLOMIDE,1
AC018926.2,GEMCITABINE,1
AC018926.3,FLUOROURACIL,1
AC018926.3,OXALIPLATIN,1
AC019064.1,CISPLATIN,1
AC020659.1,GEMCITABINE,1
AC020661.1,GEMCITABINE,1
AC020765.2,OXALIPLATIN,1
AC020765.2,FLUOROURACIL,1
AC020907.4,GEMCITABINE,1
AC020922.3,GEMCITABINE,1
AC020978.5,GEMCITABINE,1
